¿Cuántas horas a la semana dedicas a ver anime?,¿Dónde sueles ver anime?,¿Prefieres anime doblado o subtitulado?,¿Cuántas series de anime completas has visto este año?,Submitted At,Token
0-2h,Netflix,Subtitulado,0-2,30/04/2025 14:28:15,2m65dd5nqjv5i88xr2m65dd79ov8xneq
0-2h,Netflix,Doblado,0-2,29/04/2025 22:14:23,e1pg3lm1da1q1le1pa5op85zyyyxf9bq
0-2h,Página pirata,Subtitulado,0-2,29/04/2025 22:14:39,smjd1kwq8e72jl8smjd18g3cbaqo1780
3-5h,Página pirata,Subtitulado,Más de 10,29/04/2025 22:24:29,nk3bw0442s0fatkpm2ink3bw0onvcuyw
0-2h,Otro,Subtitulado,0-2,5/05/2025 1:39:12,s5y1bxnayp9yp92y9z1s5y1bjc0e97yf
0-2h,Netflix,Subtitulado,0-2,5/05/2025 1:42:17,1op73xwd4lizk5q5vy4t8x1op78a62ua
0-2h,Página pirata,Subtitulado,0-2,5/05/2025 1:42:38,gx4xrff19voq9yfbovgungx4xr0wawnx
0-2h,Página pirata,Subtitulado,0-2,5/05/2025 1:45:18,0o6h420ey5p53cp9ej4sb4dyl0o6h425
0-2h,Crunchyroll,Subtitulado,3-5,5/05/2025 1:46:31,xb1e8c2t6lq7bb6qxb1e8g359crlm83h
0-2h,Netflix,Subtitulado,0-2,5/05/2025 1:48:27,3gy8wbyh7dvd4sz643gy8m67fmboyvm5
0-2h,Crunchyroll,Subtitulado,0-2,5/05/2025 1:51:35,4osrnryyfcqn5l4os8rf22twfibng3n0
3-5h,Crunchyroll,Subtitulado,3-5,29/04/2025 17:24:53,qvhtq4woj7ktznvfb7qvhtq8jdikmhym
0-2h,Crunchyroll,Subtitulado,0-2,29/04/2025 17:25:46,ot8js1gmmeirj7swot8jso558numo37o
0-2h,Crunchyroll,Subtitulado,3-5,29/04/2025 17:26:38,xbsbhsnyiw7fkhgvigjxbsbhzav8fkix
0-2h,Crunchyroll,Subtitulado,0-2,29/04/2025 17:56:58,5r0pco7h81k27x5r0pcmwmb21450auib
3-5h,Página pirata,Subtitulado,3-5,29/04/2025 18:02:04,wtfvzdwu40lpbb0pj7t4wtfvzq5ebby6
0-2h,Crunchyroll,Subtitulado,0-2,29/04/2025 21:52:57,4aiuoix1f1xxy6selce3sm4aiuoix1w0
0-2h,Crunchyroll,Subtitulado,3-5,5/05/2025 1:47:08,5buasj07tnfxuqgu62lxr5buayrchtl4
Más de 10h,Página pirata,Subtitulado,Más de 10,5/05/2025 1:47:55,6wr5xck1sudpy73l6wz7qvynpfw4yl7f
3-5h,Crunchyroll,Subtitulado,6-10,5/05/2025 1:53:21,sy64o90pld0ff3beobsy64obb7ojv6zl
3-5h,Crunchyroll,Subtitulado,Más de 10,5/05/2025 1:54:13,n35r3u2swek6l6n35r35h6xpeuhbaojv
